ANBIMA – Associação Brasileira das Entidades dos Mercados Financeiro e de Capitais. 
IHFA Carteira Teórica 
Validade da Carteira Teórica: 01/10/2020 a 31/12/2020
Data Início;Data Final;Fundo;CNPJ;Quantidade Teórica;Cota dos Fundos em 30/09/2020;Patrimônio Líquido em 30/09/2020 (R$ milhões);Participação Relativa (%)
01/10/2020;31/12/2020;ABSOLUTE ESTRATÉGIA VERTEX FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;27.944.378/0001-08;11,5959;1,133038;575,74;0,35
01/10/2020;31/12/2020;ABSOLUTE VERTEX ADVISORY FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;28.947.266/0001-65;16,3197;1,126354;805,50;0,49
01/10/2020;31/12/2020;ABSOLUTE VERTEX CSHG FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO;18.422.272/0001-45;19,1120;2,367405;1.982,70;1,21
01/10/2020;31/12/2020;ABSOLUTE VERTEX FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;21.470.989/0001-77;26,1623;1,964411;2.252,09;1,37
01/10/2020;31/12/2020;ABSOLUTE VERTEX II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;23.565.803/0001-99;44,4886;1,693316;3.301,14;2,01
01/10/2020;31/12/2020;ABSOLUTE VERTEX RED FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;31.963.220/0001-44;11,9745;1,074374;563,76;0,34
01/10/2020;31/12/2020;ACE CAPITAL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;34.774.662/0001-30;3,6363;1,082683;172,52;0,10
01/10/2020;31/12/2020;ADAM ADVANCED 1 FICFI MM CRÉDITO PRIVADO IE;24.119.462/0001-90;8,3128;1,813224;660,50;0,40
01/10/2020;31/12/2020;ADAM ADVANCED II FI EM COTAS DE FI MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;24.018.977/0001-02;5,7363;1,819379;457,33;0,28
01/10/2020;31/12/2020;ADAM MACRO 1 FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;24.119.419/0001-25;41,1096;1,496014;2.694,98;1,64
01/10/2020;31/12/2020;ADAM MACRO ADVISORY FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;24.078.037/0001-09;7,4558;1,498207;489,49;0,30
01/10/2020;31/12/2020;ADAM MACRO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;24.029.438/0001-60;27,5792;1,499087;1.811,69;1,10
